rooms,square_m,floor,serie,price,link,region,street,building_total_floors,price_per_square_m,time
2.0,39,2.0,Staļina,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adefe.html,centrs,Katrīnas d. 20,6,8.974358974358974,2023-01-23
1.0,38,8.0,M. ģim.,170.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gfbdx.html,Purvciems,Purvciema 57,9,4.473684210526316,2023-01-23
2.0,57,2.0,119.,390.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/afgfn.html,Purvciems,Nīcgales 33,9,6.842105263157895,2023-01-23
2.0,50,4.0,LT proj.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bpoji.html,Purvciems,Zvaigznāja g. 7,5,6.0,2023-01-23
1.0,27,2.0,LT proj.,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/afhcm.html,Purvciems,Marsa g. 12,5,8.888888888888891,2023-01-23
2.0,49,5.0,LT proj.,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ejdnj.html,Imanta,Kurzemes pr. 72,5,4.8979591836734695,2023-01-23
2.0,42,3.0,Jaun.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bxfmmi.html,Ķengarags,Prūšu 4,5,8.333333333333334,2023-01-23
2.0,48,1.0,Jaun.,610.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahpoh.html,centrs,Pededzes 1,5,12.708333333333336,2023-01-23
2.0,56,4.0,Jaun.,500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dochn.html,centrs,Tomsona 39/1,9,8.928571428571429,2023-01-23
2.0,46,2.0,Renov.,360.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/blknh.html,centrs,Brīvības 174A,4,7.826086956521738,2023-01-23
2.0,56,5.0,P. kara,160.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adhio.html,centrs,Lāčplēša 42,6,2.8571428571428568,2023-01-23
1.0,36,6.0,602.,210.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/aiebx.html,Imanta,Kurzemes pr. 86,9,5.833333333333332,2023-01-23
4.0,123,3.0,Renov.,550.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/ecjfn.html,Vecrīga,Jēkaba 3/5,5,4.4715447154471555,2023-01-23
2.0,39,1.0,Renov.,340.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bdkkh.html,centrs,Brīvības 108A,7,8.717948717948719,2023-01-23
2.0,67,2.0,Jaun.,580.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gigeb.html,centrs,Tallinas 1,6,8.656716417910447,2023-01-23
2.0,51,9.0,602.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/emoik.html,Pļavnieki,Deglava 152,3,4.901960784313727,2023-01-23
2.0,40,4.0,Renov.,700.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dkeie.html,centrs,Čaka 33,6,17.5,2023-01-23
3.0,110,2.0,P. kara,1350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cmlhn.html,centrs,Barona 17,5,12.272727272727273,2023-01-23
1.0,30,4.0,Renov.,590.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dljhc.html,centrs,Čaka 33,6,19.666666666666668,2023-01-23
